name,salary,min_salary,max_salary,currency_salary,link,source
Аналитик данных,,,,,https://spb.hh.ru/vacancy/72306121?from=vacancy_search_list&query=python,https://hh.ru/
ETL developer,,,,,https://spb.hh.ru/vacancy/76536219?from=vacancy_search_list&query=python,https://hh.ru/
Инженер по нагрузочному тестированию,,,,,https://spb.hh.ru/vacancy/76919325?from=vacancy_search_list&query=python,https://hh.ru/
QA Manual middle,до 150 000 руб.,,150000.0,руб.,https://spb.hh.ru/vacancy/76940164?from=vacancy_search_list&query=python,https://hh.ru/
Разработчик ETL,,,,,https://spb.hh.ru/vacancy/76888773?from=vacancy_search_list&query=python,https://hh.ru/
Маркетолог,,,,,https://spb.hh.ru/vacancy/76998906?from=vacancy_search_list&query=python,https://hh.ru/
Менеджер проекта,150 000 – 320 000 руб.,,,руб.,https://spb.hh.ru/vacancy/76910722?from=vacancy_search_list&query=python,https://hh.ru/
DevOps инженер,,,,,https://spb.hh.ru/vacancy/75684741?from=vacancy_search_list&query=python,https://hh.ru/
Системный администратор серверов Linux (удаленно),230 000 – 230 000 руб.,,,руб.,https://spb.hh.ru/vacancy/76505079?from=vacancy_search_list&query=python,https://hh.ru/
Программист-тестировщик (отдел автотестирования),46 000 – 92 000 руб.,,,руб.,https://spb.hh.ru/vacancy/75786851?from=vacancy_search_list&query=python,https://hh.ru/
Программист-разработчик систем САУ,до 200 000 руб.,,200000.0,руб.,https://spb.hh.ru/vacancy/76817912?from=vacancy_search_list&query=python,https://hh.ru/
Программист роботов,,,,,https://spb.hh.ru/vacancy/76793294?from=vacancy_search_list&query=python,https://hh.ru/
DevOps инженер (Junior),80 000 – 120 000 руб.,,,руб.,https://spb.hh.ru/vacancy/76767021?from=vacancy_search_list&query=python,https://hh.ru/
Разработчик в тестировании / SDET (Java),,,,,https://spb.hh.ru/vacancy/76771245?from=vacancy_search_list&query=python,https://hh.ru/
Go-разработчик,,,,,https://spb.hh.ru/vacancy/76749089?from=vacancy_search_list&query=python,https://hh.ru/
Системный аналитик,,,,,https://spb.hh.ru/vacancy/75558913?from=vacancy_search_list&query=python,https://hh.ru/
Data engineer (middle),,,,,https://spb.hh.ru/vacancy/76715247?from=vacancy_search_list&query=python,https://hh.ru/
Автор работ по программированию / программист,до 90 000 руб.,,90000.0,руб.,https://spb.hh.ru/vacancy/76670173?from=vacancy_search_list&query=python,https://hh.ru/
Системный администратор (инженер по внедрению),,,,,https://spb.hh.ru/vacancy/76720819?from=vacancy_search_list&query=python,https://hh.ru/
Системный администратор Linux,,,,,https://spb.hh.ru/vacancy/74406735?from=vacancy_search_list&query=python,https://hh.ru/
DevOps инженер (Брокерский бизнес),,,,,https://spb.hh.ru/vacancy/76642389?from=vacancy_search_list&query=python,https://hh.ru/
Системный аналитик,100 000 – 200 000 руб.,,,руб.,https://spb.hh.ru/vacancy/76652169?from=vacancy_search_list&query=python,https://hh.ru/
Ведущий QA инженер,,,,,https://spb.hh.ru/vacancy/76637802?from=vacancy_search_list&query=python,https://hh.ru/
